,Decimal Latitude,Decimal Longitude,Catalog Number,Scientific Name,Family,Identified By,Collector,Collector Number,Event Date,Continent,Country,State/Province,County,Locality,Habitat,Collection Code,Institution Code,Modified,ID,Occurrence ID,Collection,Image Size,File Size,Record,Link to this Item,Manifest,Full citation,Geodetic Datum,In public portfolios,Species Header,Accepted Name,Collector and Date,Location,Notes,Type Status,Publication
0,44.6617400000,-77.9174900000,1201461,"
Cabomba caroliniana
",Cabombaceae,Michael J. Oldham,Michael J. Oldham,22526,1999-07-19,North America,Canada,Ontario,Peterborough,"Methuen Twp., Bass Bay, Kasshabog Lake",shallow bay of lake,Angiosperms,MICH,2016-3-11,df39a3bd-695e-4d5b-b21e-5586374c08f8,df39a3bd-695e-4d5b-b21e-5586374c08f8,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,725 KB,1201461,"

https://quod.lib.umich.edu/h/herb00ic/x-1201461/mich-v-1201461

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1201461:MICH-V-1201461

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1201461/mich-v-1201461.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,44.6376900000,-77.9427600000,1201476,"
Cabomba caroliniana
",Cabombaceae,M.J. Oldham & D.A. Sutherland,Michael J. Oldham,22414,1999-07-12,North America,Canada,Ontario,Peterborough,"Methuen Twp., south side of Connor Bay, Kasshabog Lake, ca. 26 N of Havelock","dense beds covering 50% of bottom of shallow bay, with Myriophyllum sp.",Angiosperms,MICH,2016-3-11,52d7d204-307f-43e5-a655-20222b492e83,52d7d204-307f-43e5-a655-20222b492e83,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,708 KB,1201476,"

https://quod.lib.umich.edu/h/herb00ic/x-1201476/mich-v-1201476

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1201476:MICH-V-1201476

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1201476/mich-v-1201476.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,42.7776300000,-83.5845300000,1302380,"
Cabomba caroliniana
",Cabombaceae,,Anton A. Reznicek,10329,1996-09-04,North America,USA,Michigan,Oakland,"Rattelee Lake, SW 1/4 section 1, T4N R7E, ca. 2 1/2 mi. SE of Holly",Shallow water of marly lake.,Angiosperms,MICH,2016-3-10,172d7185-adbe-483b-b5c1-67be461d43b0,172d7185-adbe-483b-b5c1-67be461d43b0,"
University of Michigan Herbarium Catalog Collection
",3744 x 5616,794 KB,1302380,"

https://quod.lib.umich.edu/h/herb00ic/x-1302380/mich-v-1302380

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1302380:MICH-V-1302380

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1302380/mich-v-1302380.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,42.0895470000,-85.5398050000,1302381,"
Cabomba caroliniana
",Cabombaceae,,Fred W. Rapp & Clarence R. Hanes,1446,1936-08-21,North America,USA,Michigan,Kalamazoo,Kimble Lake.,Lakes and creeks.,Angiosperms,MICH,2016-3-04,9ff8cc6a-9f86-45ca-9a56-1d3ffcf19845,9ff8cc6a-9f86-45ca-9a56-1d3ffcf19845,"
University of Michigan Herbarium Catalog Collection
",3744 x 5616,589 KB,1302381,"

https://quod.lib.umich.edu/h/herb00ic/x-1302381/mich-v-1302381

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1302381:MICH-V-1302381

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1302381/mich-v-1302381.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,,,1302382,"
Cabomba caroliniana
",Cabombaceae,,Clarence R. Hanes,S.J. 171,1954-09-28,North America,USA,Michigan,St. Joseph,Quite abundant in Portage Creek.,,Angiosperms,MICH,2016-3-04,7ece1b61-c599-4d5c-8c7d-e913f2349da2,7ece1b61-c599-4d5c-8c7d-e913f2349da2,"
University of Michigan Herbarium Catalog Collection
",3744 x 5616,835 KB,1302382,"

https://quod.lib.umich.edu/h/herb00ic/x-1302382/mich-v-1302382

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1302382:MICH-V-1302382

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1302382/mich-v-1302382.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,42.0907500000,-85.5407200000,1302383,"
Cabomba caroliniana
",Cabombaceae,,Fred W. Rapp,s.n.,1936-07-25,North America,USA,Michigan,Kalamazoo,Outlet of Kimble Lake.,,Angiosperms,MICH,2016-3-04,93423c59-eefc-46dc-aff8-4b6819a9d67b,93423c59-eefc-46dc-aff8-4b6819a9d67b,"
University of Michigan Herbarium Catalog Collection
",3744 x 5616,484 KB,1302383,"

https://quod.lib.umich.edu/h/herb00ic/x-1302383/mich-v-1302383

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1302383:MICH-V-1302383

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1302383/mich-v-1302383.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",WGS84,,,,,,,,
0,42.0895470000,-85.5398050000,1302384,"
Cabomba caroliniana
",Cabombaceae,,Clarence R. Hanes,s.n.,1936-08-02,North America,USA,Michigan,Kalamazoo,"Kimble Lake, Schoolcraft Twp.",,Angiosperms,MICH,2016-3-04,7d4e2763-5fa6-4f7f-98bf-ca1e9e7caec7,7d4e2763-5fa6-4f7f-98bf-ca1e9e7caec7,"
University of Michigan Herbarium Catalog Collection
",3744 x 5616,636 KB,1302384,"

https://quod.lib.umich.edu/h/herb00ic/x-1302384/mich-v-1302384

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1302384:MICH-V-1302384

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1302384/mich-v-1302384.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,42.1854400000,-85.6174300000,1302385,"
Cabomba caroliniana
",Cabombaceae,,Clarence R. Hanes,s.n.,1954-09-28,North America,USA,Michigan,Kalamazoo,Portage Creek.,,Angiosperms,MICH,2016-3-04,4239e7a7-e36b-4091-b30b-21909b8d1150,4239e7a7-e36b-4091-b30b-21909b8d1150,"
University of Michigan Herbarium Catalog Collection
",3744 x 5616,872 KB,1302385,"

https://quod.lib.umich.edu/h/herb00ic/x-1302385/mich-v-1302385

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1302385:MICH-V-1302385

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1302385/mich-v-1302385.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",WGS84,,,,,,,,
0,,,1431713,"
Cabomba caroliniana
",Cabombaceae,,G. McCarthy,s.n.,1884-07,North America,USA,North Carolina,,E. North Carolina [no further data],,Angiosperms,MICH,2018-12-24,04322c56-c3fe-45d1-a8d5-b37a7bd057cf,04322c56-c3fe-45d1-a8d5-b37a7bd057cf,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,456 KB,1431713,"

https://quod.lib.umich.edu/h/herb00ic/x-1431713/mich-v-1431713

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1431713:MICH-V-1431713

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1431713/mich-v-1431713.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,,,1431714,"
Cabomba caroliniana
",Cabombaceae,,C. Barre Hellquist,14554,1980-07-10,North America,USA,Massachusetts,Middlesex,"Sudbury River at Central Street near the Massachusetts Turnpike, Framingham.",,Angiosperms,MICH,2018-12-24,2eb85a47-e702-467c-a9ce-98930b1b3c9a,2eb85a47-e702-467c-a9ce-98930b1b3c9a,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,522 KB,1431714,"

https://quod.lib.umich.edu/h/herb00ic/x-1431714/mich-v-1431714

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1431714:MICH-V-1431714

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1431714/mich-v-1431714.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
